date,Bottom_stocks
2014-03,"77175,12579,12488,86745,92802,91184,12049,82281,89630,93345,93274,30796,92893,27422,89965,90976,85724,92536,79122"
2014-02,"12488,77175,82281,86745,90976,93345,91184,89630,75844,92802,89965,12049,30796,93274,92893,93347,79122,92536"
2014-01,"12488,77175,90443,82281,86745,93345,89965,90976,12049,92802,38850,93347,92893,88526,75844,83909,91184,30796"
2013-12,"82281,77175,86745,90443,89965,93345,90976,12049,12397,83909,75844,78091,92518,91826,91184,10253,92802,38850"
2013-11,"77175,82281,84511,86745,85724,90976,90443,91826,93345,92802,78091,89965,91184,75844,92518,83445,33849,91457"
2013-10,"77175,91826,85724,92802,90976,84511,93345,92518,85602,75844,86745,91457,78091,83799,91184,38850,90443,91611"
2013-09,"93126,77175,78091,91826,92802,85724,85602,75844,86745,90976,91457,91184,92518,38850,89630,83756,91734,92897"
2013-08,"86233,77175,93126,85724,78091,92802,85602,90976,86745,38850,92518,91184,83799,91457,93345,90735,80306"
2013-07,"86233,77175,85724,82281,78091,92802,93083,91826,90976,85602,83756,38850,91457,92518,93302,83799,93177"
2013-06,"85724,77175,93237,78091,90640,82281,91826,90976,93177,83799,91184,80795,91457,92802,93345,83756,88208"
2013-05,"93237,85724,77175,78091,90857,91826,90640,82281,80306,90955,91201,93177,93345,91184,83756,93350,91611"
2013-04,"85293,77175,78091,85724,85602,90857,63546,90976,91607,82281,91201,91826,91457,86745,80306,92518,90955"
2013-03,"77175,78091,85724,63546,85602,90955,82281,86745,80795,90857,92682,90976,91457,92486,91672,90288,93177"
2013-02,"77175,78091,90976,92802,91607,85724,93083,88807,92682,86916,86745,82281,90955,90288,93177,85602,80795"
2013-01,"77175,91607,78091,90976,85724,82281,92682,85602,92486,88807,86745,92802,90735,93177,91611,84827,89753"
2012-12,"77175,90976,91607,85724,86745,78091,85602,90735,92475,91184,92486,88807,82281,87128,91611,92897,92986"
2012-11,"78091,77175,86745,85602,82281,85724,91611,91269,92486,91607,92475,92470,79066,87128,90735,88807,92427"
2012-10,"86745,91269,77175,85724,91611,82281,92470,85602,91607,91457,88807,90735,87128,92486,92427,38850"
2012-09,"92917,86745,77175,92521,91611,79066,82281,91457,92486,87128,91607,91428,90735,85724,85602,38850"
2012-08,"92917,90325,86745,91611,91428,90943,79066,77175,92521,87128,82281,38850,83756,85602,91734,92486"
2012-07,"90325,91428,91611,90943,86745,77175,82281,92213,83756,87128,87608,38850,90285,89875,88807,92486"
2012-06,"91611,77175,86745,87608,82281,92594,87128,85205,88807,92486,10443,83756,91607,89875,92753,38850"
2012-05,"91611,85205,77175,87608,86745,92486,82281,92753,89753,83756,10443,76221,88970,85724,38850,48072"
2012-04,"92594,85205,92486,91611,87608,92682,77175,85768,92753,89753,86745,85724,10443,92475,88970,80179"
2012-03,"92594,92486,87608,92682,82508,83885,85768,80795,10443,92475,77699,89753,80179,77175,86233,38850"
2012-02,"92486,92594,90943,87608,86728,86581,83756,82281,38850,85768,86233,83885,77699,77175,91611,85205"
2012-01,"92486,90943,87608,82281,86581,86728,77175,88970,91234,89349,90178,80795,38850,85768,92518,92475"
2011-12,"88970,82281,34367,85205,38850,89349,10443,77175,80795,91754,92475,83799,82508,92040,46923,88626"
2011-11,"85768,88970,85205,89349,34367,76221,82281,90483,80795,90325,65285,90178,10443,10258,82508,80179"
2011-10,"85768,77699,92470,65285,90325,88970,89349,34367,92486,90126,90178,76221,91234,91560,91754,33209"
2011-09,"92470,85768,92594,76221,86745,91560,60468,87128,90126,92486,10258,89349,92427,83244,88970,65285"
2011-08,"92213,92594,77699,85768,76221,92470,91269,92688,10258,92427,77175,60468,86745,87128,90126,90483"
2011-07,"92380,90298,87608,92213,76221,92594,92470,85768,85272,84176,83244,91607,75844,76644,89857,10258"
2011-06,"92380,90298,87608,86165,92688,92521,76221,85272,92470,77699,87337,85768,84176,91560,91359,11891"
2011-05,"87608,92521,76221,91428,92470,92594,86581,10257,90177,85768,84176,87337,77699,85272,86728,92486"
2011-04,"87608,86581,90177,76221,91612,91428,91560,85272,92470,84176,91359,11891,74908,85768,92521,83244"
2011-03,"87608,84607,76221,91560,90177,91612,85272,80812,86581,91428,92470,84176,85768,83244,86728,92521"
2011-02,"84607,87608,90177,91560,80812,91612,91437,85602,76221,85272,91910,11891,39731,50286,61496,91428"
2011-01,"90177,87608,84607,86581,82156,90783,77699,85526,76360,91428,50286,91560,11891,92130,85272,76221"
2010-12,"90783,90177,82156,87608,77699,85526,11891,76360,50286,76221,84607,92130,91560,90298,61496,87016"
2010-11,"90783,84607,87608,91928,77699,11891,91560,76221,87162,87016,91910,85768,90483,50286,79758"
2010-10,"90783,91910,84607,11891,91664,91560,91928,91428,87608,85526,77699,87162,85768,50286,87344"
2010-09,"90783,91910,10333,91560,11891,51263,77699,61496,90483,85768,91201,42358,90720,87608,50286"
